,Unnamed: 0,companies,companies_list
2921,2921,polymechplast-machines-POLYH,polymechplast machines
2922,2922,polyplex-corp-PLYP,polyplex corp
2923,2923,polyspin-exports-POLYS,polyspin exports
2924,2924,polytex-india-POLYT,polytex india
2925,2925,pondy-oxides-and-chemicals-PON,pondy oxides and chemicals
2926,2926,ponni-sugars-erode-PONS,ponni sugars erode
2927,2927,pooja-entertainment-and-films-POOJ,pooja entertainment and films
2928,2928,poojawestern-metaliks-POO,poojawestern metaliks
2929,2929,poona-dal-and-oil-industries-POON,poona dal and oil industries
2930,2930,magma-fincorp-MAGM,magma fincorp
2931,2931,porwal-auto-components-POR,porwal auto components
2932,2932,power-finance-corporation-PWFC,power finance corporation
2933,2933,power-grid-corporation-of-india-PGRD,power grid corporation of india
2934,2934,power-mech-projects-POMP,power mech projects
2935,2935,power-and-instrumentation-gujarat-POER,power and instrumentation gujarat
2936,2936,powerful-technologies-PROW,powerful technologies
2937,2937,prabhat-dairy-PRDA,prabhat dairy
2938,2938,prabhat-technologies-india-PTI,prabhat technologies india
2939,2939,sea-gold-infrastructure-SEAG,sea gold infrastructure
2940,2940,prabhu-steel-industries-ZPR,prabhu steel industries
2941,2941,pradeep-metals-PRADP,pradeep metals
2942,2942,pradhin-PRADH,pradhin
2943,2943,pradip-overseas-PRAD,pradip overseas
2944,2944,prag-bosimi-synthetics-PRAG,prag bosimi synthetics
2945,2945,praj-industries-PRAJ,praj industries
2946,2946,prajay-engineers-syndicate-PRJE,prajay engineers syndicate
2947,2947,prakash-industries-PRKI,prakash industries
2948,2948,prakash-pipes-PRAS,prakash pipes
2949,2949,prakash-steelage-PRAA,prakash steelage
2950,2950,prakash-woollen-and-synthetic-mills-PWA,prakash woollen and synthetic mills
2951,2951,prashant-india-PRS,prashant india
2952,2952,prataap-snacks-PRAT,prataap snacks
2953,2953,pratik-panels-PRATK,pratik panels
2954,2954,pratiksha-chemicals-PRATI,pratiksha chemicals
2955,2955,praveg-communications-india-PRAV,praveg communications india
2956,2956,praxis-home-retail-PRAX,praxis home retail
2957,2957,precision-camshafts-PRCM,precision camshafts
2958,2958,precision-containeurs-PRECI,precision containeurs
2959,2959,precision-electronics-PRECS,precision electronics
2960,2960,precision-metaliks-PRECO,precision metaliks
2961,2961,precision-wires-india-PRWR,precision wires india
2962,2962,precot-meridian-PREC,precot meridian
2963,2963,premco-global-PREM,premco global
2964,2964,premier-capital-services-PREMA,premier capital services
2965,2965,premier-explosives-PRMR,premier explosives
2966,2966,premier-PRMI,premier
2967,2967,premier-polyfilm-PRPF,premier polyfilm
2968,2968,premier-synthetics-PREMS,premier synthetics
2969,2969,prerna-infrabuild-PRE,prerna infrabuild
2970,2970,pressman-advertising-PRES,pressman advertising
2971,2971,pressure-sensitive-systems-india-PRESS,pressure sensitive systems india
2972,2972,prestige-estates-projects-PREG,prestige estates projects
2973,2973,pricol-PRCO,pricol
2974,2974,prima-agro-PRIMG,prima agro
2975,2975,prima-industries-PRIMA,prima industries
2976,2976,prima-plastics-PRIMP,prima plastics
2977,2977,prime-focus-PRFO,prime focus
2978,2978,prime-fresh-PRI,prime fresh
2979,2979,prime-industries-PRIMI,prime industries
2980,2980,prime-property-development-corporation-PRIME,prime property development corporation
2981,2981,prime-securities-PRME,prime securities
2982,2982,prime-urban-development-india-PRIMU,prime urban development india
2983,2983,punjab-alkalies-and-chemicals-PUNAL,punjab alkalies and chemicals
2984,2984,prince-pipes-and-fittings-PRCE,prince pipes and fittings
2985,2985,prism-finance-PRISF,prism finance
2986,2986,prism-johnson-PRIS,prism johnson
2987,2987,prism-medico-and-pharmacy-PRISE,prism medico and pharmacy
2988,2988,prismx-global-ventures-PRISM,prismx global ventures
2989,2989,prithvi-exchange-india-PRITH,prithvi exchange india
2990,2990,priti-international-PRNI,priti international
2991,2991,pritika-auto-industries-PRIT,pritika auto industries
2992,2992,pritika-engineering-components-PRITI,pritika engineering components
2993,2993,pritish-nandy-communications-PNCL,pritish nandy communications
2994,2994,privi-speciality-chemicals-FAIC,privi speciality chemicals
2995,2995,priya-PRIY,priya
2996,2996,provestment-services-PRO,provestment services
2997,2997,pro-fin-capital-services-PROF,pro fin capital services
2998,2998,procal-electronics-india-PROCA,procal electronics india
2999,2999,procter-and-gamble-health-PROR,procter and gamble health
3000,3000,procter-and-gamble-hygiene-and-health-care-PROC,procter and gamble hygiene and health care
3001,3001,progrex-ventures-PROG,progrex ventures
3002,3002,prolife-industries-PROI,prolife industries
